Threshold,Accuracy,Precision,Recall,F1
0.2,0.8259839436068142,0.3213681411650955,0.4483223739672905,0.37437521999296025
0.25,0.8577638535343646,0.3737928422647226,0.33282751643904906,0.3521227256510881
0.3,0.874916780888976,0.4328928046989721,0.2485247007250042,0.3157669237360754
0.35,0.8821617387898962,0.4805194805194805,0.18091384252234025,0.26286134247917686
0.4,0.8857058938711573,0.531084656084656,0.13539032203675602,0.21577320972726052
0.45,0.8869199138437439,0.5784708249496981,0.09694823807115158,0.16606498194945848
0.5,0.8868415899745448,0.6134328358208955,0.06929691451694486,0.12452658688077564
