Model,Best Threshold,Accuracy,Precision,Recall,F1
Logistic Regression,0.2,0.8259839436068142,0.3213681411650955,0.4483223739672905,0.3743752199929602
Gradient Boosting,0.2,0.8271588016448013,0.3211462450592885,0.4383746417130332,0.3707136237256719
Random Forest,0.5,0.7436068141766203,0.2524365798023087,0.6157477659753836,0.3580743210118639
