Threshold,Accuracy,Precision,Recall,F1
0.2,0.1857646367730566,0.12381294053095851,0.9892092395886023,0.22007989946921244
0.25,0.2717642451537106,0.13414634146341464,0.966278873714382,0.235586705855754
0.3,0.3739181515566869,0.14836218303583484,0.9263193390659248,0.2557609049858014
0.35,0.4830820442529861,0.16796444098371294,0.8728713539032203,0.28171849917013575
0.4,0.5835128255335814,0.19150476650174972,0.802731411229135,0.30923616523772407
0.45,0.6710984922655179,0.21855573974305845,0.7113471589951105,0.33437685753913216
0.5,0.7436068141766203,0.2524365798023087,0.6157477659753836,0.3580743210118639
